timestamp,n-unique-addresses,difficulty,total-bitcoins,hash-rate,n-orphaned-blocks,cost-per-transaction,market-cap,n-transactions-per-block,median-confirmation-time,trade-volume,n-transactions,transaction-fees,miners-revenue,avg-block-size
2010-08-02 00:00:00,-0.1278235716304691,-0.12782357466817765,-0.1277720436274828,-0.12782357817094223,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357814229997,-0.12782357817098644,-0.12782352654966633,-0.1278235722472284,-0.12782357816582288,-0.12782357817098644,-0.12782357817098028
2010-08-04 00:00:00,-0.1278235721324825,-0.12782357466817765,-0.12777171660161493,-0.12782357817094675,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357814229997,-0.12782357817098644,-0.12782352805570651,-0.12782357279227152,-0.12782357817098644,-0.12782357817098644,-0.12782357817097892
2010-08-06 00:00:00,-0.1278235721755122,-0.12782357311985376,-0.12777142615100862,-0.12782357817094603,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357815664322,-0.12782357817098644,-0.1278235581621669,-0.1278235728926742,-0.12782357817098644,-0.12782357817098644,-0.12782357817097595
2010-08-08 00:00:00,-0.12782357293570393,-0.12782357311985376,-0.12777118661890366,-0.12782357817093826,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357814229997,-0.12782357817098644,-0.12782354660151563,-0.12782357353812,-0.12782357817098644,-0.12782357817098644,-0.12782357817097947
2010-08-10 00:00:00,-0.12782357147269346,-0.12782357311985376,-0.12777090262275526,-0.12782357817093448,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357815664322,-0.12782357817098644,-0.12782355937574844,-0.12782357240500405,-0.12782357810902367,-0.12782357817098644,-0.12782357817096676
2010-08-12 00:00:00,-0.12782357154440965,-0.12782357311985376,-0.1277705906572892,-0.1278235781709317,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357814229997,-0.12782357817098644,-0.12782354859077955,-0.12782357233328784,-0.12782357817098644,-0.12782357817098644,-0.12782357817097986
2010-08-14 00:00:00,-0.12782357171652853,-0.12782357311985376,-0.12777024785385757,-0.1278235781709209,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357814229997,-0.12782357817098644,-0.12782351500048963,-0.12782357208945277,-0.12782357817098644,-0.12782357817098644,-0.1278235781709802
2010-08-16 00:00:00,-0.12782357262015265,-0.12782357083049592,-0.12776996744351915,-0.12782357817094414,-0.12782357817098644,-0.12782357817098644,-0.12782357817098644,-0.12782357815664322,-0.12782357817098644,-0.12782342424696733,-0.12782357360983618,-0.12782357817098644,-0.12782357817098644,-0.12782357817097562
2010-08-18 00:00:00,-0.12782357173087178,-0.12782357083049592,-0.12776977811275353,-0.12782357817093792,-0.12782357817098644,-0.12782357815226134,-0.12781959696667722,-0.12782357815664322,-0.12782357817098644,-0.12782353580141462,-0.12782357276358505,-0.127823578148611,-0.12782357111161674,-0.12782357817095816
2010-08-20 00:00:00,-0.12782357196036362,-0.12782357083049592,-0.12776955794402234,-0.12782357817092552,-0.12782357817098644,-0.1278235781509151,-0.12781997502184794,-0.12782357815664322,-0.12782357817098644,-0.12782351793300806,-0.127823572462377,-0.12782357817098644,-0.12782357018259075,-0.12782357817097714
2010-08-22 00:00:00,-0.12782357303610659,-0.12782357083049592,-0.12776928327097983,-0.12782357817091383,-0.12782357817098644,-0.12782357814391132,-0.12781997298962602,-0.12782357815664322,-0.12782357817098644,-0.1278233106843087,-0.12782357315085252,-0.12782357817098644,-0.12782356869469477,-0.12782357817097942
2010-08-24 00:00:00,-0.1278235725340932,-0.12782357083049592,-0.12776898062861966,-0.12782357817091167,-0.12782357817098644,-0.12782357814180573,-0.12781992619597507,-0.12782357815664322,-0.12782357817098644,-0.1278234819026462,-0.12782357333731464,-0.12782357817098644,-0.12782356833708552,-0.12782357817098022
2010-08-26 00:00:00,-0.12782357256277968,-0.12782357083049592,-0.12776866866315362,-0.12782357817091056,-0.12782357817098644,-0.12782357814446335,-0.12781992674362508,-0.12782357814229997,-0.12782357817098644,-0.1278235226625049,-0.12782357280661477,-0.12782357817098644,-0.12782356825135097,-0.12782357817097928
2010-08-28 00:00:00,-0.1278235725340932,-0.1278235692295978,-0.12776841263632288,-0.1278235781709069,-0.12782357817098644,-0.12782357814700893,-0.12781999241123332,-0.12782357814229997,-0.12782357817098644,-0.1278234896157521,-0.127823573179539,-0.12782357817098644,-0.12782356982680668,-0.1278235781709786
2010-08-30 00:00:00,-0.12782357336600111,-0.1278235692295978,-0.12776819246759166,-0.12782357817092022,-0.12782357817098644,-0.12782357814538528,-0.12781975655745223,-0.12782357815664322,-0.12782357817098644,-0.127823087730608,-0.1278235740401334,-0.12782357816524917,-0.12782357079784404,-0.12782357817097784
2010-09-01 00:00:00,-0.12782357158743937,-0.1278235692295978,-0.12776794074373288,-0.12782357817090823,-0.12782357817098644,-0.12782357815090875,-0.1278199673019577,-0.12782357815664322,-0.12782357817098644,-0.12782347540566058,-0.12782357231894462,-0.12782357816912185,-0.12782356997927533,-0.12782357817097453
2010-09-03 00:00:00,-0.1278235729643904,-0.1278235692295978,-0.1277677177063537,-0.12782357817091533,-0.12782357817098644,-0.12782357814781803,-0.12782003661752875,-0.12782357815664322,-0.12782357817098644,-0.12782356537681652,-0.12782357366720914,-0.12782357817098644,-0.1278235708960952,-0.12782357817097884
